device_key,display_name,family,idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index_ideal,true_label_ideal,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,ideal_prediction_matches_label,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction,circuit_idx,test_index_x,test_index_y
braket_tn1,Braket TN1 (Amazon sim),Braket sim,4,qvc_test_004,braket_tn1,braket_tn1_qvc_test_004,qvc_test_004.json,1000,110,0.198,0.198,1.0,4.629836829461605,5.131,0.8089999999999999,100.542464,0.599,1100111001,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,0.0014413713222518,-0.1762108993776889,5.97222885926233,True,True,4,,
ionq_native_simulator,IonQ simulator (native cloud),IonQ native,4,qvc_test_004,ionq_native_simulator,ionq_native_simulator_qvc_test_004,20260707_084925Z/qvc_test_004.json,1024,112,0.220703125,0.220703125,1.0,4.636600932114847,5.0107421875,0.806640625,98.0,0.6103515625,1100111001,,,,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,0.0241444963222517,-0.169446796724447,3.4297648592623204,True,True,4,4.0,4.0
ionq_native_forte_1,IonQ Forte-1 (native cloud),IonQ native,4,qvc_test_004,ionq_native_forte_1,ionq_native_forte_1_qvc_test_004,20260707_084925Z/qvc_test_004.json,1025,131,0.1785365853658536,0.1785365853658536,1.0,5.023206797540477,5.132682926829268,0.7902439024390244,80.49212611540752,0.5892682926829268,1100111001,,,,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,-0.0180220433118945,0.217159068701183,-14.078109025330164,True,True,4,4.0,4.0
ibm_kingston,IBM Kingston,IBM,5,vqc_ibm_kingston_05,ibm_kingston,d7nkorc97osc73ds6il0,2026-04-27T11:45:49.559754Z,1024,136,0.140625,0.140625,1.0,5.092892939877972,5.0625,0.771484375,73.779296875,0.5703125,1001110011,5.0,1.0,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,True,-0.279316945724004,0.8566966745926843,-58.83613360539448,True,True,5,,
ibm_fez,IBM Fez,IBM,5,fez_vqc_005,ibm_fez,d7vm5r3ack5s73bfjm10,2026-05-09T16:38:04.903086Z,1024,140,0.23046875,0.23046875,1.0,5.1873811467043485,7.0625,0.3740234375,71.041015625,0.615234375,1111111111,,,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,,True,-0.189473195724004,0.9511848814190608,-61.57441485539448,True,True,5,,
ibm_marrakesh,IBM Marrakesh,IBM,5,qvc_test_005,ibm_marrakesh,marrakesh_qvc_test_005,qvc_test_005.json,1024,104,0.333984375,0.333984375,1.0,4.467304292433552,7.3486328125,0.392578125,114.529296875,0.6669921875,1111111111,,,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,,True,-0.085957570724004,0.2311080271482648,-18.08613360539448,True,True,5,,
iqm_emerald,IQM Emerald (Braket),Braket,5,qvc_test_005,iqm_emerald,iqm_emerald_qvc_test_005,qvc_test_005.json,1024,193,0.154296875,0.154296875,1.0,5.937486206650492,6.9033203125,0.3515625,45.595703125,0.5771484375,1111111111,,,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,,True,-0.265645070724004,1.7012899413652045,-87.01972735539448,True,True,5,,
iqm_garnet,IQM Garnet (Braket),Braket,5,qvc_test_005,iqm_garnet,iqm_garnet_qvc_test_005,qvc_test_005.json,1024,176,0.23828125,0.23828125,1.0,5.518468484188397,7.193359375,0.322265625,68.44140625,0.619140625,1111111111,,,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,,True,-0.181660695724004,1.2822722189031095,-64.17402423039448,True,True,5,,
rigetti_cepheus,Rigetti Cepheus (Braket),Braket,5,qvc_test_005,rigetti_cepheus,rigetti_cepheus_qvc_test_005,qvc_test_005.json,1024,315,0.04296875,0.04296875,1.0,7.345811991081806,6.89453125,0.30859375,13.986328125,0.521484375,1111111111,,,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,,True,-0.376973195724004,3.1096157257965187,-118.62910235539448,True,True,5,,
braket_sv1,Braket SV1 (Amazon sim),Braket sim,5,qvc_test_005,braket_sv1,braket_sv1_qvc_test_005,qvc_test_005.json,1024,82,0.478515625,0.478515625,1.0,4.005822123573107,7.2685546875,0.41796875,137.76953125,0.7392578125,1111111111,,,5.0,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,,True,0.0585736792759959,-0.2303741417121809,5.15410076960552,True,True,5,,
